sim_time,node,is_attacker,f1_pkt_rate,f2_mean_rate,f3_burst_ratio,f4_rate_change,f5_rate_trend,f6_flow_duration,f7_activity_ratio,f8_cell_zscore,f9_consecutive,f10_peak_rate
21.0,ue[1],0,0.007,0.0108,0.032407,0.006,0.499667,0.066667,1.0,0.0,0.733333,0.017
21.0,ue[2],0,0.012,0.0126,0.047619,0.002,0.498,0.066667,1.0,0.037573,0.733333,0.018
21.0,ue[3],0,0.008,0.0094,0.042553,0.002,0.499167,0.066667,1.0,0.0,0.733333,0.015
21.0,ue[4],0,0.01,0.0109,0.045872,0.002,0.500333,0.066667,1.0,0.0,0.733333,0.019
21.0,attacker[0],1,0.011,0.0163,0.033742,0.003,0.49825,0.066667,0.954545,0.0,0.7,0.023
21.0,attacker[1],1,0.018,0.0165,0.054545,0.003,0.50375,0.066667,0.954545,0.338161,0.7,0.029
21.0,attacker[2],1,0.017,0.0143,0.059441,0.006,0.5,0.066667,0.954545,0.288063,0.7,0.021
22.0,ue[0],0,0.01,0.0087,0.057471,0.003,0.49975,0.07,1.0,0.0,0.766667,0.018
22.0,ue[1],0,0.008,0.0104,0.038462,0.001,0.497917,0.07,1.0,0.0,0.766667,0.017
22.0,ue[2],0,0.006,0.0117,0.025641,0.006,0.498333,0.07,1.0,0.0,0.766667,0.018
22.0,ue[3],0,0.011,0.0094,0.058511,0.003,0.49975,0.07,1.0,0.0,0.766667,0.015
22.0,ue[4],0,0.017,0.0117,0.07265,0.007,0.501583,0.07,1.0,0.122319,0.766667,0.019
22.0,attacker[0],1,0.017,0.0161,0.052795,0.006,0.498833,0.07,0.956522,0.122319,0.733333,0.023
22.0,attacker[1],1,0.025,0.0166,0.075301,0.007,0.50325,0.07,0.956522,0.401904,0.733333,0.029
22.0,attacker[2],1,0.014,0.0142,0.049296,0.003,0.501417,0.07,0.956522,0.017474,0.733333,0.021
23.0,ue[0],0,0.018,0.0094,0.095745,0.008,0.5035,0.073333,1.0,0.256703,0.8,0.018
23.0,ue[1],0,0.008,0.0105,0.038095,0.0,0.498167,0.073333,1.0,0.0,0.8,0.017
23.0,ue[2],0,0.016,0.0123,0.065041,0.01,0.499333,0.073333,1.0,0.145696,0.8,0.018
23.0,ue[3],0,0.008,0.0097,0.041237,0.003,0.500083,0.073333,1.0,0.0,0.8,0.015
23.0,ue[4],0,0.012,0.0115,0.052174,0.005,0.502417,0.073333,1.0,0.0,0.8,0.019
23.0,attacker[0],1,0.013,0.0154,0.042208,0.004,0.500333,0.073333,0.958333,0.0,0.766667,0.023
23.0,attacker[1],1,0.017,0.0169,0.050296,0.008,0.501833,0.073333,0.958333,0.2012,0.766667,0.029
23.0,attacker[2],1,0.015,0.0144,0.052083,0.001,0.50025,0.073333,0.958333,0.090193,0.766667,0.021
24.0,ue[0],0,0.007,0.0097,0.036082,0.011,0.50275,0.076667,1.0,0.0,0.833333,0.018
24.0,ue[1],0,0.013,0.0107,0.060748,0.005,0.500583,0.076667,1.0,0.0,0.833333,0.017
24.0,ue[2],0,0.01,0.0128,0.039062,0.006,0.501833,0.076667,1.0,0.0,0.833333,0.018
24.0,ue[3],0,0.012,0.01,0.06,0.004,0.500167,0.076667,1.0,0.0,0.833333,0.015
24.0,ue[4],0,0.006,0.0114,0.026316,0.006,0.498,0.076667,1.0,0.0,0.833333,0.019
24.0,attacker[0],1,0.017,0.0156,0.054487,0.004,0.5005,0.076667,0.96,0.152554,0.8,0.023
24.0,attacker[1],1,0.023,0.0173,0.066474,0.006,0.499333,0.076667,0.96,0.381385,0.8,0.029
24.0,attacker[2],1,0.016,0.0148,0.054054,0.001,0.50075,0.076667,0.96,0.114415,0.8,0.021
25.0,ue[0],0,0.008,0.0098,0.040816,0.001,0.497917,0.08,1.0,0.0,0.866667,0.018
25.0,ue[1],0,0.011,0.0105,0.052381,0.002,0.502167,0.08,1.0,0.0,0.866667,0.017
25.0,ue[2],0,0.009,0.012,0.0375,0.001,0.499083,0.08,1.0,0.0,0.866667,0.018
25.0,ue[3],0,0.014,0.0099,0.070707,0.002,0.502,0.08,1.0,0.0,0.866667,0.015
25.0,ue[4],0,0.011,0.011,0.05,0.005,0.49775,0.08,1.0,0.0,0.866667,0.019
25.0,attacker[0],1,0.021,0.0162,0.064815,0.004,0.502667,0.08,0.961538,0.210522,0.833333,0.023
25.0,attacker[1],1,0.021,0.0179,0.058659,0.002,0.501,0.08,0.961538,0.210522,0.833333,0.029
25.0,attacker[2],1,0.024,0.0157,0.076433,0.008,0.502333,0.08,0.961538,0.313634,0.833333,0.024
26.0,ue[0],0,0.007,0.0098,0.035714,0.001,0.497917,0.083333,1.0,0.0,0.9,0.018
26.0,ue[1],0,0.014,0.0106,0.066038,0.003,0.501417,0.083333,1.0,0.010556,0.9,0.017
26.0,ue[2],0,0.011,0.0119,0.046218,0.002,0.499667,0.083333,1.0,0.0,0.9,0.018
26.0,ue[3],0,0.009,0.0104,0.043269,0.005,0.500583,0.083333,1.0,0.0,0.9,0.015
